,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,31,US,1601021058,80,42.6,-73.97,61.0,2.21
1,Dikson,100,RU,1601021059,86,73.51,80.55,44.49,30.36
2,Kapaa,90,US,1601020979,74,22.08,-159.32,80.6,16.11
3,Baní,19,DO,1601021062,82,18.28,-70.33,80.01,3.0
4,Barrow,90,US,1601021063,97,71.29,-156.79,32.0,11.41
5,Aripuanã,5,BR,1601021064,80,-9.17,-60.63,73.71,2.17
6,Reno,1,US,1601020927,58,39.53,-119.81,57.99,6.93
7,Khatanga,81,RU,1601021067,65,71.97,102.5,48.99,8.59
8,Port Hardy,90,CA,1601020805,93,50.7,-127.42,53.6,14.99
9,Atar,12,MR,1601021069,37,20.52,-13.05,87.39,9.66
10,Touros,40,BR,1601021071,94,-5.2,-35.46,71.6,4.7
11,Cape Town,75,ZA,1601021072,67,-33.93,18.42,62.01,24.16
12,Qaanaaq,0,GL,1601021073,79,77.48,-69.36,14.29,7.76
13,Krasnosel'kup,0,RU,1601021074,61,65.7,82.47,46.54,11.34
14,Staryy Nadym,2,RU,1601021076,54,65.61,72.68,48.69,14.88
15,Pacific Grove,0,US,1601021077,92,36.62,-121.92,61.0,5.99
16,Ushuaia,75,AR,1601021047,74,-54.8,-68.3,37.4,33.33
17,Manga,72,BF,1601021080,72,11.66,-1.07,79.2,5.21
18,Moose Factory,75,CA,1601021081,93,51.26,-80.61,35.6,9.17
19,Port Alfred,5,ZA,1601021083,64,-33.59,26.89,68.7,21.56
20,Hermanus,53,ZA,1601021084,57,-34.42,19.23,64.99,11.01
21,Alofi,72,NU,1601021085,88,-19.06,-169.92,73.4,8.05
22,Yar-Sale,100,RU,1601021086,64,66.83,70.83,45.75,17.02
23,Saint-Philippe,7,RE,1601021088,61,-21.36,55.77,78.8,23.04
24,Letnica,100,PL,1601020851,38,51.9,15.33,63.0,9.01
25,Tezu,100,IN,1601021090,87,27.92,96.17,73.18,5.59
26,Nyurba,0,RU,1601021092,46,63.28,118.33,54.46,8.97
27,Visnes,20,NO,1601021093,87,59.36,5.22,48.2,12.75
28,Pryazha,89,RU,1601021094,77,61.69,33.62,59.0,4.47
29,Hithadhoo,65,MV,1601021063,64,-0.6,73.08,82.53,3.71
30,Carnarvon,90,AU,1601021097,56,-24.87,113.63,73.4,9.17
31,Bredasdorp,100,ZA,1601021098,55,-34.53,20.04,60.8,20.8
32,Fortuna,78,US,1601021099,95,40.6,-124.16,57.99,1.74
33,Coyhaique,81,CL,1601021101,75,-45.58,-72.07,41.0,4.7
34,Marsh Harbour,75,BS,1601021102,80,26.54,-77.06,81.63,18.16
35,Sola,100,VU,1601021104,85,-13.88,167.55,80.53,15.61
36,Whitehorse,75,CA,1601020818,75,60.72,-135.05,42.8,2.64
37,Wanning,100,CN,1601021106,70,18.8,110.4,85.89,5.01
38,Kedrovyy,75,RU,1601021107,93,56.17,91.82,44.6,11.18
39,Lagoa,100,PT,1601021109,73,39.05,-27.98,67.24,13.51
40,Butaritari,100,KI,1601021110,74,3.07,172.79,82.09,15.55
41,Klaksvík,46,FO,1601021111,87,62.23,-6.59,42.8,14.99
42,Thompson,90,CA,1601021112,81,55.74,-97.86,50.0,2.24
43,Bluff,77,NZ,1601020866,75,-46.6,168.33,48.99,1.99
44,Pemberton,100,CA,1601021115,68,50.32,-122.8,54.1,5.73
45,Punta Arenas,42,CL,1601021116,79,-53.15,-70.92,42.8,5.82
46,Provideniya,5,RU,1601021118,84,64.38,-173.3,34.12,9.22
47,Mataura,86,NZ,1601021119,75,-46.19,168.86,48.99,1.99
48,Manokwari,37,ID,1601021120,76,-0.87,134.08,83.3,10.33
49,Hilo,90,US,1601021055,78,19.73,-155.09,77.0,5.59
50,Progreso,80,MX,1601021123,94,21.28,-89.67,79.0,6.98
51,Port Lincoln,71,AU,1601021124,62,-34.73,135.87,51.57,19.3
52,Weyburn,1,CA,1601021125,35,49.67,-103.85,58.89,11.54
53,Aloleng,97,PH,1601021127,80,16.13,119.78,84.63,9.98
54,Bhīmavaram,100,IN,1601021128,77,16.53,81.53,87.24,9.91
55,Sitka,90,US,1601021043,87,57.05,-135.33,51.8,5.82
56,Nemuro,75,JP,1601020989,82,43.32,145.57,55.4,11.41
57,Conceição do Araguaia,93,BR,1601021132,65,-8.26,-49.26,79.93,1.77
58,Khani,0,GE,1601021133,45,41.96,42.96,84.2,13.87
59,Jamestown,20,US,1601021135,100,42.1,-79.24,55.0,3.36
60,Vaini,20,TO,1601021136,88,-21.2,-175.2,71.6,5.82
61,São Raimundo das Mangabeiras,46,BR,1601021138,36,-7.02,-45.48,79.7,6.33
62,Buin,0,CL,1601021139,93,-33.73,-70.75,54.0,4.7
63,Lovington,1,US,1601021140,63,32.94,-103.35,66.99,8.05
64,Agüimes,20,ES,1601021141,57,27.91,-15.45,75.2,14.99
65,George Town,20,MY,1601021143,94,5.41,100.34,80.6,11.41
66,Nikolskoye,85,RU,1601021144,67,59.7,30.79,61.0,6.71
67,Suşehri,100,TR,1601021061,27,40.16,38.09,76.75,3.56
68,Tiarei,20,PF,1601021146,83,-17.53,-149.33,77.0,3.36
69,La Santisima Trinidad,26,BO,1601021148,52,-14.83,-64.9,77.85,3.11
70,Sherpur,100,BD,1601021149,74,25.02,90.02,87.8,5.91
71,Novosil',100,RU,1601021150,45,52.97,37.04,65.17,9.78
72,Rikitea,100,PF,1601021151,84,-23.12,-134.97,73.02,12.08
73,New Norfolk,99,AU,1601021153,85,-42.78,147.06,46.99,1.95
74,Ketchikan,90,US,1601021154,93,55.34,-131.65,53.6,12.75
75,Cidreira,100,BR,1601021155,75,-30.18,-50.21,62.74,5.59
76,Piaçabuçu,0,BR,1601021157,82,-10.41,-36.43,72.23,7.27
77,Sørland,90,NO,1601021158,93,67.67,12.69,50.0,12.75
78,Nizhnevartovsk,0,RU,1601021160,53,60.93,76.55,50.0,11.18
79,Celestún,100,MX,1601021161,84,20.87,-90.4,80.26,8.19
80,Grindavik,0,IS,1601021163,74,63.84,-22.43,32.0,4.7
81,Hasaki,75,JP,1601020916,100,35.73,140.83,69.8,9.17
82,Vanavara,0,RU,1601021165,47,60.34,102.28,58.6,11.41
83,Constitución,3,CL,1601021166,87,-35.33,-72.42,48.83,0.94
84,Lebu,1,CL,1601021167,91,-37.62,-73.65,47.8,4.12
85,Naze,75,JP,1601021169,74,28.37,129.48,82.4,12.75
